date,open,high,low,close,vwap,volume,regime,tags,confidence,floor_pct,ceiling_pct,fwd_1d_return,fwd_3d_return,fwd_5d_return,fwd_5d_max_dd
2026-01-27,45.16,50.39,44.81,50.39,48.7,27978985.0,TREND_UP,above_vwap|accepted_dense_zone|high_volatility|higher_lows|above_ma5,0.7,0.7,1.0,-1.171,-11.49,-10.042,12.582
2026-01-28,50.1,50.79,48.53,49.8,49.84,20077538.0,RANGE,below_vwap|near_dense_zone|higher_lows|above_ma5,0.5,0.45,0.85,-6.627,-11.546,-13.855,13.855
2026-01-29,49.93,49.93,46.24,46.5,47.86,18529607.0,WEAK,below_vwap|near_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,-4.086,-2.516,-9.656,9.656
2026-01-30,46.42,47.99,42.64,44.6,44.94,24583967.0,WEAK,below_vwap|rejected_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,-1.233,-3.812,-5.157,7.324
2026-02-02,45.8,46.63,44.02,44.05,45.31,18563346.0,WEAK,below_vwap|rejected_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,2.906,-4.631,-1.362,7.324
2026-02-03,45.0,46.75,44.6,45.33,45.58,14339059.0,WEAK,below_vwap|rejected_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,-5.361,-6.684,-3.044,7.324
2026-02-04,44.75,44.75,41.12,42.9,42.31,21860936.0,RANGE,above_vwap|higher_lows|below_ma5,0.5,0.45,0.85,-2.075,1.282,2.564,2.075
2026-02-05,42.25,44.17,41.57,42.01,42.51,13251268.0,WEAK,below_vwap|rejected_dense_zone|higher_lows|below_ma5,0.62,0.4,0.7,0.69,4.618,15.211,0.0
2026-02-06,41.06,44.66,41.06,42.3,42.91,14945069.0,WEAK,below_vwap|rejected_dense_zone|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,2.719,4.019,13.452,0.847
2026-02-09,43.3,45.25,41.16,43.45,43.24,19967516.0,REPAIR,above_vwap|lower_highs|higher_lows|above_ma5,0.58,0.55,0.85,1.151,11.392,8.861,2.273
2026-02-10,43.46,45.06,42.0,43.95,43.61,18151292.0,REPAIR,above_vwap|lower_highs|higher_lows|above_ma5,0.58,0.55,0.85,0.114,9.192,8.669,2.273
2026-02-11,43.79,46.36,43.66,44.0,44.77,23875916.0,WEAK,below_vwap|rejected_dense_zone|high_volume|lower_highs|higher_lows|above_ma5,0.62,0.4,0.7,10.0,7.5,15.75,2.273
2026-02-12,44.61,48.4,44.0,48.4,46.8,27090732.0,REPAIR,above_vwap|accepted_dense_zone|high_volume|lower_highs|higher_lows|above_ma5,0.58,0.55,0.85,-0.847,-1.322,8.099,2.273
2026-02-13,49.59,50.51,47.7,47.99,48.9,28989994.0,RANGE,below_vwap|near_dense_zone|high_volume|above_ma5,0.5,0.45,0.85,-1.438,6.126,16.378,1.438
2026-02-24,47.74,48.79,47.0,47.3,47.72,18853179.0,RANGE,below_vwap|near_dense_zone|above_ma5,0.5,0.45,0.85,0.973,10.613,11.205,5.819
2026-02-25,48.04,48.59,46.54,47.76,47.72,17314832.0,TREND_UP,above_vwap|accepted_dense_zone|above_ma5,0.7,0.7,1.0,6.637,16.939,9.108,6.697
2026-02-26,48.64,51.27,47.71,50.93,49.53,25325871.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,2.729,3.279,12.547,6.697
2026-02-27,48.6,52.68,47.93,52.32,49.99,21758842.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,6.747,-0.401,14.297,6.697
2026-03-02,51.99,57.07,51.99,55.85,55.5,22683302.0,TREND_UP,above_vwap|high_volatility|higher_lows|above_ma5,0.7,0.7,1.0,-5.819,2.632,7.073,6.697
2026-03-03,56.45,56.79,52.5,52.6,54.62,20609712.0,RANGE,below_vwap|higher_lows|above_ma5,0.5,0.45,0.85,-0.932,13.688,20.456,0.932
2026-03-04,51.49,53.24,50.34,52.11,51.93,12342104.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,9.998,14.757,27.212,0.0
2026-03-05,54.3,57.32,53.62,57.32,56.43,20064790.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,4.327,10.537,6.682,7.754
2026-03-06,58.88,61.58,57.5,59.8,59.4,23305883.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,0.0,10.853,-3.478,12.928
2026-03-09,56.54,60.4,54.36,59.8,57.46,24228699.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,5.953,2.258,-4.515,13.863
2026-03-10,60.59,64.37,57.18,63.36,60.84,24769828.0,TREND_UP,above_vwap|high_volatility|higher_lows|above_ma5,0.7,0.7,1.0,4.624,-8.902,-11.127,15.055
2026-03-11,64.16,67.6,64.16,66.29,66.0,21385621.0,TREND_UP,above_vwap|higher_lows|above_ma5,0.7,0.7,1.0,-7.754,-13.863,-14.044,15.055
2026-03-12,65.38,66.59,61.08,61.15,63.37,23388117.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-5.609,-7.915,-9.436,9.436
2026-03-13,60.24,60.24,57.2,57.72,58.44,19582862.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-1.074,-1.282,-4.401,4.401
2026-03-16,58.29,59.05,55.86,57.1,57.37,14209674.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-1.384,-3.012,-13.03,13.03
2026-03-17,56.15,58.55,54.85,56.31,56.84,11107318.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,1.19,-2.007,-11.898,12.934
2026-03-18,57.19,57.2,54.34,56.98,55.84,13205746.0,RANGE,above_vwap|higher_lows|below_ma5,0.5,0.45,0.85,-2.808,-12.847,-11.057,12.934
2026-03-19,56.14,57.29,55.05,55.38,56.19,8998135.0,WEAK,below_vwap|higher_lows|below_ma5,0.62,0.4,0.7,-0.361,-10.419,-17.642,17.642
2026-03-20,59.5,60.25,55.08,55.18,58.23,20479643.0,WEAK,below_vwap|high_volume|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,-10.004,-8.155,-18.956,18.956
2026-03-23,53.0,53.0,49.66,49.66,51.0,17776062.0,BREAKDOWN,below_vwap|near_dense_zone|lower_highs|higher_lows|break_recent_low|below_ma5,0.68,0.4,0.55,-0.101,-8.155,-3.745,11.76
2026-03-24,50.02,50.02,47.8,49.61,48.86,16900582.0,REPAIR,above_vwap|accepted_dense_zone|lower_highs|higher_lows|below_ma5,0.58,0.55,0.85,2.157,-9.857,-7.761,11.76
2026-03-25,51.05,52.47,49.9,50.68,51.11,16330690.0,WEAK,below_vwap|lower_highs|below_ma5,0.62,0.4,0.7,-10.004,-5.683,-7.419,11.76
2026-03-26,50.1,50.24,45.61,45.61,46.76,21525253.0,BREAKDOWN,below_vwap|rejected_dense_zone|high_volume|lower_highs|break_recent_low|break_major_low|below_ma5,0.78,0.4,0.55,-1.951,0.329,0.833,4.268
2026-03-27,44.35,45.48,43.68,44.72,44.46,16808586.0,RANGE,above_vwap|lower_highs|below_ma5,0.5,0.45,0.85,6.887,4.919,13.126,4.268
2026-03-30,47.13,48.88,46.04,47.8,47.71,17665429.0,REPAIR,above_vwap|accepted_dense_zone|lower_highs|below_ma5,0.58,0.55,0.85,-4.268,-3.787,1.653,4.268
2026-03-31,46.97,47.25,45.34,45.76,46.25,14614740.0,WEAK,below_vwap|rejected_dense_zone|lower_highs|below_ma5,0.62,0.4,0.7,2.535,10.555,11.757,3.953
2026-04-01,46.64,47.68,46.08,46.92,46.86,12908666.0,REPAIR,above_vwap|accepted_dense_zone|lower_highs|above_ma5,0.58,0.55,0.85,-1.982,3.559,7.566,3.953
2026-04-02,46.27,47.75,45.36,45.99,46.59,11421200.0,WEAK,below_vwap|rejected_dense_zone|lower_highs|below_ma5,0.62,0.4,0.7,10.002,11.198,11.285,3.953
2026-04-03,48.18,50.59,47.35,50.59,49.09,25133041.0,REPAIR,above_vwap|high_volume|lower_highs|above_ma5,0.58,0.55,0.85,-3.953,-0.237,-1.601,3.953
2026-04-07,50.25,50.31,47.64,48.59,48.97,23157678.0,WEAK,below_vwap|near_dense_zone|high_volume|lower_highs|higher_lows|above_ma5,0.62,0.4,0.7,5.248,5.33,2.634,2.735
2026-04-08,49.51,51.71,49.16,51.14,50.8,23173007.0,REPAIR,above_vwap|lower_highs|higher_lows|above_ma5,0.58,0.55,0.85,-1.31,-2.659,-5.025,5.1
2026-04-09,50.39,51.7,50.39,50.47,50.91,15639483.0,WEAK,below_vwap|near_dense_zone|lower_highs|higher_lows|above_ma5,0.62,0.4,0.7,1.407,-1.189,-3.903,5.236
2026-04-10,50.2,52.2,48.81,51.18,50.07,21040722.0,TREND_UP,above_vwap|lower_highs|higher_lows|above_ma5,0.7,0.7,1.0,-2.735,-5.1,4.24,5.236
2026-04-13,49.42,51.8,49.17,49.78,50.01,15630004.0,WEAK,below_vwap|near_dense_zone|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,0.181,-2.571,12.093,2.747
2026-04-14,49.57,51.83,49.57,49.87,50.65,17870016.0,WEAK,below_vwap|near_dense_zone|lower_highs|higher_lows|below_ma5,0.62,0.4,0.7,-2.607,6.978,11.911,2.747
2026-04-15,49.51,49.77,48.25,48.57,48.97,12324999.0,BREAKDOWN,below_vwap|near_dense_zone|lower_highs|higher_lows|break_recent_low|below_ma5,0.68,0.4,0.55,-0.144,14.886,26.395,0.144
2026-04-16,48.48,49.08,47.9,48.5,48.5,8288076.0,REPAIR,above_vwap|accepted_dense_zone|lower_highs|higher_lows|below_ma5,0.58,0.55,0.85,10.0,15.072,25.753,0.652
2026-04-17,48.55,53.35,48.06,53.35,51.56,31589837.0,TREND_UP,above_vwap|high_volume|lower_highs|higher_lows|above_ma5,0.7,0.7,1.0,4.592,15.07,8.247,5.929
